iter	Logloss
0	0.6922004702
1	0.6913010244
2	0.6904250086
3	0.689601535
4	0.6888027369
5	0.6880431703
6	0.6873261824
7	0.6866344148
8	0.6859726936
9	0.6853385279
10	0.6847287262
11	0.68412702
12	0.6835604976
13	0.6830127347
14	0.6824947847
15	0.6819863312
16	0.6815096366
17	0.6810390136
18	0.6805899524
19	0.6801499984
20	0.6797249899
21	0.679324034
22	0.6789274372
23	0.678543217
24	0.6781737086
25	0.67782187
26	0.6774749354
27	0.6771290127
28	0.6767896285
29	0.6764770215
30	0.6761679951
31	0.6758742255
32	0.6755827132
33	0.6752964941
34	0.6750193044
35	0.6747416477
36	0.6744744995
37	0.674206962
38	0.673956783
39	0.6737174238
40	0.6734787651
41	0.6732466451
42	0.6730172494
43	0.6727951708
44	0.6725778404
45	0.6723704736
46	0.6721305695
47	0.6719272504
48	0.6717216739
49	0.6715283962
50	0.6713337173
51	0.6711443317
52	0.6709537005
53	0.6707797272
54	0.6706075443
55	0.6704007224
56	0.6702320422
57	0.6700600928
58	0.6698959274
59	0.6697445278
60	0.6695626148
61	0.6694059221
62	0.6692560015
63	0.6690800044
64	0.6689381013
65	0.668800246
66	0.6686577981
67	0.6685089672
68	0.6683693215
69	0.6682446991
70	0.6681183641
71	0.6679745929
72	0.6678484915
73	0.6676998941
74	0.6675737149
75	0.6674623252
76	0.6673342778
77	0.6672127689
78	0.6670978765
79	0.6669752
80	0.6668582059
81	0.6667549117
82	0.6666493602
83	0.666548479
84	0.6664484541
85	0.666322664
86	0.666214388
87	0.666107591
88	0.6659968241
89	0.6659012361
90	0.6658086839
91	0.6657225924
92	0.6656311299
93	0.6655411464
94	0.6654429119
95	0.6653542516
96	0.6652627113
97	0.665165333
98	0.6650889716
99	0.6649954853
100	0.6649157767
101	0.6648299187
102	0.66474445
103	0.6646644301
104	0.6645733568
105	0.6644878102
106	0.6644061556
107	0.6643363328
108	0.6642619174
109	0.6641912383
110	0.6641147212
111	0.6640412398
112	0.6639623097
113	0.6638878943
114	0.6638197061
115	0.663728555
116	0.6636366255
117	0.6635637669
118	0.6634937105
119	0.6634273126
120	0.663349083
121	0.6632873556
122	0.6632123953
123	0.6631403151
124	0.6630729053
125	0.6630077529
126	0.662942367
127	0.6628819628
128	0.662819924
129	0.662758508
130	0.6626899306
131	0.6626256344
132	0.6625517639
133	0.662489258
134	0.662420525
135	0.6623655696
136	0.6622924775
137	0.6622354205
138	0.662180076
139	0.6621151571
140	0.6620621478
141	0.6620032226
142	0.6619404832
143	0.6618769655
144	0.6618249681
145	0.6617679889
146	0.66170307
147	0.6616506056
148	0.6615786811
149	0.6615294081
150	0.6614629324
151	0.6613970794
152	0.6613470281
153	0.6612846779
154	0.6612301896
155	0.6611818507
156	0.6611311766
