iter	Passed	Remaining
405	5845	8551
406	5857	8534
407	5869	8516
408	5882	8500
409	5894	8482
410	5906	8464
411	5920	8449
412	5932	8431
413	5945	8415
414	5958	8398
415	5970	8381
416	5982	8364
417	5994	8346
418	6008	8331
419	6019	8313
420	6032	8295
421	6044	8279
422	6056	8262
423	6069	8245
424	6081	8228
425	6093	8210
426	6106	8194
427	6119	8178
428	6132	8162
429	6145	8145
430	6156	8128
431	6167	8109
432	6180	8092
433	6191	8074
434	6203	8057
435	6214	8039
436	6227	8023
437	6244	8012
438	6256	7994
439	6267	7977
440	6279	7959
441	6293	7944
442	6306	7928
443	6318	7912
444	6330	7895
445	6341	7877
446	6354	7861
447	6365	7843
448	6377	7826
449	6395	7816
450	6413	7806
451	6425	7789
452	6437	7772
453	6448	7755
454	6460	7738
455	6472	7721
456	6484	7704
457	6498	7690
458	6511	7674
459	6523	7658
460	6535	7640
461	6547	7624
462	6559	7607
463	6571	7591
464	6583	7574
465	6596	7559
466	6608	7542
467	6621	7526
468	6632	7509
469	6643	7491
470	6655	7475
471	6668	7459
472	6680	7442
473	6693	7427
474	6705	7410
475	6717	7394
476	6729	7378
477	6740	7360
478	6752	7344
479	6763	7327
480	6775	7310
481	6787	7294
482	6799	7278
483	6811	7262
484	6824	7246
485	6836	7230
486	6847	7213
487	6859	7197
488	6871	7180
489	6883	7164
490	6896	7149
491	6908	7133
492	6921	7118
493	6933	7102
494	6946	7087
495	6959	7071
496	6971	7055
497	6983	7039
498	6995	7023
499	7007	7007
500	7018	6990
501	7030	6974
502	7043	6959
503	7055	6943
504	7066	6926
505	7077	6909
506	7089	6893
507	7101	6877
508	7112	6861
509	7124	6845
510	7137	6830
511	7150	6815
512	7162	6799
513	7174	6783
514	7186	6767
515	7199	6752
516	7211	6737
517	7223	6721
518	7236	6706
519	7249	6692
520	7261	6676
521	7273	6660
522	7284	6644
523	7296	6628
524	7308	6612
525	7320	6596
526	7332	6581
527	7343	6565
528	7355	6549
529	7369	6534
530	7380	6518
531	7392	6502
532	7404	6487
533	7416	6471
534	7427	6455
535	7440	6440
536	7451	6424
537	7463	6408
538	7474	6392
539	7486	6376
540	7497	6360
541	7509	6345
542	7525	6333
543	7540	6320
544	7569	6319
545	7584	6306
546	7597	6291
547	7612	6278
548	7627	6265
549	7638	6249
550	7651	6235
551	7663	6219
552	7677	6205
553	7691	6192
554	7703	6176
555	7715	6161
556	7729	6147
557	7743	6133
558	7758	6120
559	7778	6111
560	7793	6098
561	7808	6085
562	7820	6070
563	7834	6056
564	7849	6043
565	7864	6030
566	7880	6018
567	7894	6004
568	7909	5991
569	7925	5978
570	7937	5963
571	7952	5950
572	7969	5938
573	7997	5935
574	8013	5923
575	8028	5909
576	8048	5900
577	8063	5887
578	8078	5874
579	8093	5860
580	8107	5846
581	8120	5832
582	8134	5818
583	8148	5804
584	8162	5790
585	8176	5776
586	8190	5762
587	8203	5748
588	8216	5733
589	8230	5719
590	8245	5706
591	8260	5692
592	8274	5679
593	8288	5665
594	8301	5650
595	8313	5634
596	8326	5620
597	8338	5605
598	8350	5590
599	8362	5575
600	8377	5561
601	8388	5546
602	8400	5530
603	8412	5515
604	8424	5500
605	8437	5485
606	8451	5471
607	8463	5456
608	8476	5442
609	8489	5427
610	8500	5411
611	8511	5396
612	8526	5382
613	8539	5368
614	8552	5353
615	8565	5339
616	8577	5324
617	8589	5309
618	8602	5294
619	8613	5279
620	8625	5264
621	8637	5249
622	8649	5233
623	8659	5218
624	8671	5203
625	8684	5188
626	8696	5173
627	8708	5158
628	8720	5143
629	8732	5128
630	8744	5113
631	8756	5098
632	8768	5083
633	8780	5068
634	8791	5053
635	8803	5038
636	8816	5023
637	8828	5009
638	8840	4994
639	8851	4979
640	8863	4964
641	8875	4949
642	8886	4934
643	8899	4919
644	8912	4905
645	8925	4891
646	8938	4876
647	8949	4861
648	8961	4846
649	8973	4831
650	8987	4818
651	9000	4803
652	9012	4789
653	9025	4774
654	9036	4759
655	9049	4745
656	9060	4730
657	9072	4715
658	9084	4700
659	9095	4685
660	9106	4670
661	9118	4655
662	9130	4641
663	9143	4626
664	9155	4611
665	9166	4597
666	9179	4582
667	9191	4568
668	9203	4553
669	9215	4538
670	9227	4524
671	9239	4509
672	9254	4496
673	9266	4482
674	9279	4467
675	9292	4453
676	9303	4438
677	9316	4424
678	9327	4409
679	9340	4395
680	9352	4381
681	9365	4366
682	9378	4352
683	9390	4338
684	9402	4323
685	9414	4309
686	9426	4294
687	9437	4279
688	9450	4265
689	9462	4251
690	9475	4237
691	9486	4222
692	9498	4207
693	9510	4193
694	9522	4179
695	9534	4164
696	9545	4149
697	9557	4135
698	9569	4120
699	9581	4106
700	9593	4091
701	9604	4077
702	9616	4062
703	9627	4048
704	9639	4033
705	9652	4019
706	9664	4005
707	9675	3990
708	9686	3975
709	9697	3960
710	9708	3946
711	9720	3931
712	9731	3917
713	9743	3902
714	9755	3888
715	9766	3873
716	9779	3859
717	9790	3845
718	9803	3831
719	9814	3816
720	9825	3802
721	9836	3787
722	9848	3773
723	9860	3759
724	9873	3745
725	9886	3731
726	9898	3716
727	9909	3702
728	9921	3688
729	9933	3674
730	9945	3659
731	9957	3645
732	9970	3631
733	9983	3618
734	9995	3603
735	10007	3589
736	10019	3575
737	10031	3561
738	10043	3547
739	10056	3533
740	10068	3519
741	10085	3506
742	10101	3494
743	10117	3481
744	10133	3468
745	10150	3456
746	10166	3443
747	10180	3429
748	10192	3415
749	10206	3402
750	10219	3388
751	10232	3374
752	10246	3361
753	10259	3347
754	10272	3333
755	10285	3319
756	10298	3306
757	10311	3292
758	10324	3278
759	10337	3264
760	10350	3250
761	10365	3237
762	10377	3223
763	10390	3209
764	10402	3195
765	10415	3181
766	10426	3167
767	10438	3153
768	10451	3139
